cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
iv	1623	205200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	205300	2316426	3311630	3181353	3272794	3101530	3553778	3930195	3627268	4160585	3480477	4059782	3817208	3150108	3793976	4727908	3113002	3203055	3319516	3347823	3387866	3627268	3696572	3702712	5681243	5402932	6415247	6684478	7039263	6808883	6865737	6846416	5603405	6013694	8748238	11061525	11569512	15320785	20119035
iv	1623	205400	14205	109377	51194	56189	125854	20204	88073	605218	75295	79747	823561	45250	24765	37562	27895	70880	82742	90795	164546	77371	90097	70311	147092	3684922	3258055	3054683	3160136	2642622	1961134	2330321	1768052	1936845	1723930	1969860	1209429	1316682	1195237	2128279
iv	1623	205500	1039627	1127039	1115170	1018511	910825	1944684	2074992	1390610	10710432	9796618	10013914	10512022	9852281	9200558	10553248	11154050	11266346	9867117	10249646	10314942	10526015	10019866	13128281	13468913	13734390	17775097	18332248	17766817	17746980	17337186	16843641	14398834	14983205	1403175	1975141	2769330	54835300	5635551
iv	1623	205510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50632560	0
iv	1623	205520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	205530	1039627	1127039	1115170	1018511	910825	1944684	2074992	1390610	10710432	9796618	10013914	10512022	9852281	9200558	10553248	11154050	11266346	9867117	10249646	10314942	10526015	10019866	13128281	13468913	13734390	17775097	18332248	17766817	17746980	17337186	16843641	14398834	14983205	1403175	1975141	2769330	4202740	5635551
iv	1623	205600	262699795	254063996	252118413	263235841	269724965	289826025	295359353	297101093	303727667	301200235	309433750	303563484	300877046	299395773	313555529	367476202	374008017	374018466	387075285	396019689	404197111	401569649	405218632	422373222	383708602	427353946	446474767	450738230	450233138	436483941	428960044	442912357	443365317	457344222	517787283	571534410	628035695	755378655
iv	1623	205700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	205900	6628570	7156896	7102670	6890266	6899233	7018582	6946617	7055080	7378493	7412939	7131358	7064108	6631526	6616750	6514033	6503716	6185381	5963089	5094470	5951151	6500576	5988146	6113480	5854691	5670498	6369214	6929788	6591952	6512777	6204185	6317901	6536615	6505005	6436308	6880063	7008495	7952038	9800861
