cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
itogo	2748	205510	10000000	0	0	0	0	0	0	0	5000000	20800578	25285712	35285712	32157291	0	0	15000000	44381719	43565196	44084208	63068588	64519012	70225806	56225806	40122038	5100806	11646859	34440092	47730290	70753411	40300000	33000000	25000000	22000000	37800000	57800000	100130500	22000000	12000000
itogo	2748	205520	65524062	59211165	56453085	57189990	57257265	63279255	63992955	62766795	62972130	60287955	61474140	60560175	59226765	58554015	59709390	60612630	60949005	45804485	47428050	47690645	48208730	46900395	46488885	48127820	47457340	51104960	52272645	51746295	51762535	50366040	48764370	51804295	53550820	57110570	62921735	71516900	81574680	99947195
itogo	2748	205530	412417769	401093045	392281182	425954467	420396663	433909281	421553348	437506578	429918296	410354565	412163330	380567855	376439486	392353213	421229190	448667625	456971433	478876083	462699577	443424598	477640740	462123839	473491028	490737933	475671073	454472070	476832770	481396077	466323730	474649801	486648269	547343082	510017954	534521511	517625829	486897960	444355408	476729521
itogo	2748	205600	155128133	147208588	145870456	147162652	150017348	153144955	156316571	155785773	157945568	156233802	157330708	158326720	169609248	162402405	167001073	171591309	177752261	179383593	186547420	187572695	192607540	202771418	205938786	212387680	228150299	227468018	233194649	233449611	239568816	235515363	234918844	238708042	239205726	242955870	256548500	268545061	278104558	296113751
itogo	2748	205700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179485	179485	179485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	2748	205900	2210525	2334943	2248772	2140134	2114474	2249926	2257450	2261669	2351143	2362620	2280096	2267133	2138718	2170342	2083804	2104717	1964633	1825633	1580582	1727835	1885938	1627257	1643004	1554130	1492020	1601653	1723942	1853468	1827859	1722232	1727019	1591251	1599919	1584944	1691750	1846115	2077567	2661157
itogo	2748	206000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	20000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	30000000	30000000
itogo	2748	207000	2545725	2372574	992928	1457512	1931163	1500238	1111123	1063999	1324329	1603523	2102442	1995806	2070444	2681542	2637298	3011303	2593981	3176551	3361311	4685299	4989703	4688374	4582316	5735899	11877947	12075885	11773743	7174557	6127363	5963461	4761715	4204517	4404650	4565762	4871194	5301760	10893273	10671139
itogo	2748	208000	0	1713068	1424738	1497708	1566053	4431054	2840843	2195548	2328209	2336587	2251461	2335743	3170516	2331758	2098799	2008952	2076597	1939385	1800460	1778282	1572190	1922084	2211285	1677866	1986035	3562398	3935526	3067763	2814700	1658827	826469	519176	586364	164106	179741	232401	341003	434332
itogo	2748	209000	140531259	139655928	140851385	144147676	147837094	151615328	155262007	156759086	158775208	160157877	164909154	164902936	160646478	163806076	168168621	171320219	172862886	175740041	181126122	184839755	186940963	193022929	196829546	200058462	200726089	205889912	211031659	214703632	203982087	212494008	210342611	218051008	226636244	230131586	240107791	253296602	279023205	309020224
