REGN	PLAN	NUM_SC	A_P	VR	VV	VITG	ORA	OVA	OITGA	ORP	OVP	OITGP	IR	IV	IITG	DT	PRIZ
1.0	À	45401	1	33771.0	0.0	33771.0	49406.0	0.0	49406.0	49166.0	0.0	49166.0	34011.0	0.0	34011.0	2013-01-01	1.0
1.0	À	45404	1	0.0	0.0	0.0	860.0	0.0	860.0	0.0	0.0	0.0	860.0	0.0	860.0	2013-01-01	1.0
1.0	À	45405	1	13586.0	0.0	13586.0	850.0	0.0	850.0	2681.0	0.0	2681.0	11755.0	0.0	11755.0	2013-01-01	1.0
1.0	À	45406	1	241062.0	0.0	241062.0	24620.0	0.0	24620.0	18378.0	0.0	18378.0	247304.0	0.0	247304.0	2013-01-01	1.0
1.0	À	45407	1	388416.0	0.0	388416.0	75131.0	0.0	75131.0	42194.0	0.0	42194.0	421353.0	0.0	421353.0	2013-01-01	1.0
1.0	À	45408	1	667690.0	0.0	667690.0	114849.0	0.0	114849.0	11370.0	0.0	11370.0	771169.0	0.0	771169.0	2013-01-01	1.0
1.0	À	45503	1	134.0	0.0	134.0	503.0	0.0	503.0	134.0	0.0	134.0	503.0	0.0	503.0	2013-01-01	1.0
1.0	À	45504	1	2069.0	0.0	2069.0	0.0	0.0	0.0	1007.0	0.0	1007.0	1062.0	0.0	1062.0	2013-01-01	1.0
1.0	À	45505	1	2090281.0	743.0	2091024.0	355582.0	25.0	355607.0	376984.0	379.0	377363.0	2068879.0	389.0	2069268.0	2013-01-01	1.0
1.0	À	45506	1	20782816.0	132233.0	20915049.0	1924577.0	5569.0	1930146.0	1633140.0	12368.0	1645508.0	21074253.0	125434.0	21199687.0	2013-01-01	1.0
1.0	À	45507	1	69699812.0	6127532.0	75827344.0	5335412.0	202586.0	5537998.0	2627970.0	499270.0	3127240.0	72407254.0	5830848.0	78238102.0	2013-01-01	1.0
1.0	À	45509	1	2695186.0	68267.0	2763453.0	1448240.0	39810.0	1488050.0	1435365.0	49540.0	1484905.0	2708061.0	58537.0	2766598.0	2013-01-01	1.0
1.0	À	45602	1	0.0	175052.0	175052.0	0.0	80306.0	80306.0	0.0	136362.0	136362.0	0.0	118996.0	118996.0	2013-01-01	1.0
1.0	À	45603	1	0.0	420150.0	420150.0	0.0	15351.0	15351.0	0.0	15112.0	15112.0	0.0	420389.0	420389.0	2013-01-01	1.0
1.0	À	45605	1	3800628.0	10032142.0	13832770.0	0.0	274321.0	274321.0	0.0	910185.0	910185.0	3800628.0	9396278.0	13196906.0	2013-01-01	1.0
1.0	À	45606	1	0.0	14983543.0	14983543.0	0.0	1558818.0	1558818.0	0.0	1760567.0	1760567.0	0.0	14781794.0	14781794.0	2013-01-01	1.0
1.0	À	45608	1	0.0	0.0	0.0	1037299.0	0.0	1037299.0	1037299.0	0.0	1037299.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	45704	1	1735.0	0.0	1735.0	0.0	0.0	0.0	226.0	0.0	226.0	1509.0	0.0	1509.0	2013-01-01	1.0
1.0	À	45705	1	8180.0	0.0	8180.0	1657.0	0.0	1657.0	1005.0	0.0	1005.0	8832.0	0.0	8832.0	2013-01-01	1.0
1.0	À	45706	1	244621.0	222034.0	466655.0	63606.0	6355.0	69961.0	3712.0	18770.0	22482.0	304515.0	209619.0	514134.0	2013-01-01	1.0
1.0	À	45708	1	30464.0	2482.0	32946.0	17012.0	2704.0	19716.0	21963.0	4092.0	26055.0	25513.0	1094.0	26607.0	2013-01-01	1.0
1.0	À	45802	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	45812	1	7034566.0	1024456.0	8059022.0	943790.0	204712.0	1148502.0	804838.0	267726.0	1072564.0	7173518.0	961442.0	8134960.0	2013-01-01	1.0
1.0	À	45814	1	80813.0	3002.0	83815.0	3322.0	79.0	3401.0	2035.0	145.0	2180.0	82100.0	2936.0	85036.0	2013-01-01	1.0
1.0	À	45815	1	3709288.0	3065368.0	6774656.0	300663.0	105686.0	406349.0	345965.0	204649.0	550614.0	3663986.0	2966405.0	6630391.0	2013-01-01	1.0
1.0	À	45817	1	7168.0	47074.0	54242.0	754.0	1397.0	2151.0	540.0	2633.0	3173.0	7382.0	45838.0	53220.0	2013-01-01	1.0
1.0	À	45912	1	231370.0	7822.0	239192.0	2924.0	306.0	3230.0	6265.0	454.0	6719.0	228029.0	7674.0	235703.0	2013-01-01	1.0
1.0	À	45914	1	1856.0	0.0	1856.0	162.0	0.0	162.0	142.0	0.0	142.0	1876.0	0.0	1876.0	2013-01-01	1.0
1.0	À	45915	1	117428.0	82451.0	199879.0	98219.0	12298.0	110517.0	97622.0	14805.0	112427.0	118025.0	79944.0	197969.0	2013-01-01	1.0
1.0	À	45917	1	466.0	1582.0	2048.0	220.0	167.0	387.0	192.0	290.0	482.0	494.0	1459.0	1953.0	2013-01-01	1.0
1.0	À	47001	1	1513.0	621.0	2134.0	0.0	16.0	16.0	1513.0	30.0	1543.0	0.0	607.0	607.0	2013-01-01	1.0
1.0	À	47002	1	2371992.0	0.0	2371992.0	30563002.0	0.0	30563002.0	30942713.0	0.0	30942713.0	1992281.0	0.0	1992281.0	2013-01-01	1.0
1.0	À	47102	1	15364077.0	0.0	15364077.0	266074307.0	0.0	266074307.0	266687179.0	0.0	266687179.0	14751205.0	0.0	14751205.0	2013-01-01	1.0
1.0	À	47104	1	0.0	0.0	0.0	0.0	50897.0	50897.0	0.0	756.0	756.0	0.0	50141.0	50141.0	2013-01-01	1.0
1.0	À	47301	1	0.0	180489.0	180489.0	0.0	4746.0	4746.0	0.0	8720.0	8720.0	0.0	176515.0	176515.0	2013-01-01	1.0
